Issue;Side-Effect;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Spotbugs;Spotbugs-fbcontrib;Infer;Detekt;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;
EarlyResourceBinding;Energy;Resource Management;Yes;;;;;;;;;;✅;;;;;✅;refers to code smell that arises when heavy resources such as database connections, Camera, Media Player and Location Manager are initialized before they need to be used;;Delay initializing heavy resources (e.g., Camera, MediaPlayer, LocationManager, Database) until they are actually needed instead of initializing them early in onCreate().;*.java, *.kt;Warning;EarlyResourceBinding1.txt;EarlyResourceBinding2.txt;The resource (e.g., a map view or a camera preview) may be central to the screen's primary function and is needed immediately. Delaying its initialization would lead to a poor user experience with visible loading indicators, so binding it early is a deliberate choice.;A developer is creating a camera app. He should use the camera object in the main activity;;;;;
ImmortalityBug;Energy;Resource Management;Yes;;;;;;;;;;✅* (does not check for foreground service);;;;;✅;refers to an energy bug that arises when an application re-spawns when it is not opened by the user. To detect this issues, calls to start a foreground operation like activity are removed from background operations like Services;; Prevent apps from restarting unnecessarily by removing auto-restart logic in background services. Avoid using START_STICKY unless necessary and ensure proper foreground service management.;*.java, *.kt;Warning;ImmortalityBug1.txt;ImmortalityBug2.txt;"An application like an alarm clock, a critical reminder service, or a device monitoring tool is expected to restart itself if killed. Using START_STICKY to achieve this ""immortality"" is the correct and intended behavior for such apps.";A developer is implementing a background service for data syncing;;;;;
RigidAlarmManager;Energy;Suboptimal Algorithm;Yes;;✅;✅;;;;;;;;;;;;;The AlarmManager class allows to execute operations at speciﬁc moments. Obviously, an Alarm Manager-triggered operation wakes- up the phone, possibly threatening the energy and memory efﬁciency of the app. It is recommended to use the AlarmManager.setInexactRepeating method, which ensures that the system is able to bundle several updates together [18]. Therefore, a code smell is identiﬁed by our detector if a class using an instance of AlarmManager does not deﬁne the method setInexactRepeating.;;Use setInexactRepeating() instead of setRepeating() to allow Android to batch operations and reduce power usage;*.java, *.kt;Warning;RigidAlarmManager1.txt;RigidAlarmManager2.txt;"For an alarm clock or a calendar application, the alarm must fire at a precise moment. Using the inexact setInexactRepeating() would be a functional bug, making the ""rigid"" setRepeating() the correct choice.";A developer is creating a weather app that needs to update forecast data periodically. He decided to use AlarmManager;;;;;
InefficientSQLQuery;Energy;Data Access, RPC/IPC;Yes;;✅;;;;;;;;;;;;;;In Android, the use of a SQL query is discouraged as it introduces overhead, while other solutions should be preferred (e.g., using webservices) [18]. If a method deﬁnes a JDBC connection and sends an SQL query to a remote server, the smell is identiﬁed.;; Avoid direct SQL queries when possible. Prefer Room Database, SQLite with indexing, or Web services instead of raw SQL queries to minimize performance overhead.;*.java, *.kt;Warning;InefficientSQLQuery1.txt;InefficientSQLQuery2.txt;A direct, raw SQL query might be necessary to perform a very complex operation that cannot be expressed through an ORM like Room, or to achieve maximum performance by leveraging database-specific features not exposed by the abstraction layer.;A developer is implementing a feature to fetch user data from a remote database;;;;;
DebuggableRelease;Energy;Resource Management;Yes;;✅;✅;;;;;;;;;;;;;In Android, the attribute android:debuggable of the AndroidManifest ﬁle is set during the development for debugging an app. Leaving the attribute true when the app is released is a major security threat since every external app can have full access to the source code. In this case, the detector simply parses the AndroidManifest ﬁle looking for the android:debuggable properties. If it is explicitly set to true, the smell is detected.;;"Ensure android:debuggable=""false"" in the AndroidManifest.xml file for release builds.";*.xml;Warning;DebuggableRelease1.txt;DebuggableRelease2.txt;The build process might sufer transformations that make the release not debuggable.; A developer needs to submit its app to the Google Play Store after making it debuggable ;;;;;
InefficientDataFormatAndParser;Runtime;Data Access, Suboptimal Algorithm;Yes;;✅;✅;;;;;;;;;;;;;When analyzing XML or JSON ﬁles, the use of TreeParser slows down the app, and thus it should be avoided and replaced with other more efﬁcient parsers (e.g.,StreamParser) [18]. In this case, ADOCTOR identiﬁes the smell by evaluating whether a method uses the TreeParser class.;; Replace Tree-based parsers (e.g., DocumentBuilder for XML, JSONObject for JSON) with stream-based parsers (XmlPullParser, JsonReader) for better performance.;*.java, *.kt;Warning;InefficientDataFormatAndParser1.txt;InefficientDataFormatAndParser2.txt;A tree-based parser (like DOM) is necessary when the application needs to frequently access different parts of the parsed document out of order or manipulate its structure in memory. A stream-based parser is ill-suited for such tasks.;A developer need to implement a feature to parse large XML configuration files in their app.;;;;;
MemoizationChance;Runtime;Unnecessary Computation, Suboptimal Algorithm;No;✅;;;;;;;;;;;;;;;Methods that work as simple functions are good targets to exploit memoization for performance enhancement;;Implement memoization to cache function results, avoiding redundant computations;*.java, *.kt;Warning;MemoizationChance1.txt;MemoizationChance2.txt;Memoization is impractical if the function has a very large or non-discrete input space, which would cause the cache to consume an excessive amount of memory. It is also ineffective if the function is almost never called with the same arguments twice.;A developer is implementing a utility method that calculates the Fibonacci sequence for a specific position. The method uses a recursive approach that repeatedly calculates the same values for overlapping subproblems. This computation-heavy method is called multiple times with the same inputs during the application's lifecycle,;;;;;
DynamicWaitTime;Energy;Suboptimal Algorithm, RPC/IPC;No;;;;;;✅;;;;;;;;;;This inspection identifies cases where the wait time between attempts to access a resource is constant. In those cases, the constant is changed to a dynamic value that grows with the number of attempts. It also considers the values used to put threads to sleep. <br>;;Implement exponential backoff instead of using constant wait times;*.java, *.kt;Warning;DynamicWaitTime1.txt;DynamicWaitTime2.txt;When polling a local resource or a very fast, reliable endpoint, a short, fixed retry interval might be more appropriate than an exponential backoff, which could introduce unnecessary delays.;A developer is creating a feature that polls a remote server for data availability. The implementation should try to get the data in several attempts before giving up and wait a while after each retry;;;;;
InfoWarningFCM;Energy;Obsolete Solution;Yes;;;;;;✅;;;;;;;;;; This inspection identifies cases where the method android.app.AlarmManager.setRepeating is used and adds a <i>TODO</i> to the source code to remind developers that it would be preferable to implement push notifications, rather than using a possible polling system. <br>;;Replace AlarmManager.setRepeating() (polling) with Firebase Cloud Messaging (FCM) for push notifications;*.java, *.kt;Warning;InfoWarningFCM1.txt;InfoWarningFCM2.txt;The application might be designed to work in environments where Google services (and thus FCM) are blocked or unavailable (e.g., certain regions or corporate networks). In this case, polling is the only viable alternative.;A developer is implementing a notification system that needs to periodically check for updates from a server. ;;;;;
PassiveProviderLocation;Energy;Resource Management;;;;;;;✅;;;;;;;;;; This inspection switches to a <i>LocationManager.PASSIVE_PROVIDER</i> when invoking the method <i>requestLocationUpdates</i> from the class <i>android.location.LocationManager;; Use LocationManager.PASSIVE_PROVIDER when location updates are needed but don’t require GPS;*.java, *.kt;Warning;PassiveProviderLocation1.txt;PassiveProviderLocation2.txt;The application may need a recent location fix but cannot rely on other apps to request one. While not wanting the power drain of GPS, it still needs to actively request a location (e.g., from the network provider), making the PASSIVE_PROVIDER insufficient for its needs.;A developer is building a fitness tracking app that needs location updates just to display the current weather on the user area.;;;;;
SSLSessionCaching;Energy;RPC/IPC;;;;;;;✅;;;;;;;;;;    This inspection applies the energy pattern https://tqrg.github.io/energy-patterns/#/patterns/Cache by attempting to increase the cache size of an SSL Session.    It identifies cases where the cache size is not already set to a specific value and removes any default ;;Increase SSL session cache size for better performance;*.java, *.kt;Warning;SSLSessionCaching1.txt;SSLSessionCaching2.txt;If an application makes very infrequent HTTPS requests to a wide variety of different domains, an SSL session cache would provide little to no performance benefit, as sessions would rarely be reused.;A developer is implementing secure network communication in their app. THe app requires establishing HTTPS connections to their server all the time. ;;;;;
URLCaching;Energy;RPC/IPC, Unnecessary Computation;;;;;;;✅;;;;;;;;;;This inspection identifies cases where no changes occur since the last update from an URL connection. It adds a <i>TODO</i> to the source code to remind developers that there is an opportunity to apply the energy pattern https://tqrg.github.io/energy-patterns/#/patterns/Cache;;Implement HTTP caching using HttpURLConnection;*.java, *.kt;Warning;URLCaching1.txt;URLCaching2.txt;The app might be communicating with an endpoint that provides real-time, non-cacheable data, such as a stock ticker or live sports scores. Caching this data would be functionally incorrect.;A developer is creating a news feed that fetches content from a remote server. Their implementation should use a HttpURLConnection for each refresh;;;;;
CheckLayoutSize;Energy;Resource Management, Unnecessary Computation;Yes;;;;;;✅;;;;;;;;;;  This inspection ensures that a layout is not drawn when its measurements are zero.   This is specific to the usage of the class android.view.SurfaceHolder.;;Ensure layouts are not drawn if their measurements are zero when using android.view.SurfaceHolder;*.java, *.kt;Warning;CheckLayoutSize1.txt;CheckLayoutSize2.txt;A developer might be intentionally relying on the underlying graphics system to clip or ignore drawing commands on a zero-sized surface, and an explicit check in the code is considered redundant.;A developer is implementing a custom SurfaceView for rendering graphics.;;;;;
CheckMetadata;Energy;Unnecessary Computation;;;;;;;✅;;;;;;;;;; This inspection identifies cases where a simple cache mechanism can be added in the method onReceive of subclasses of android.content.BroadcastReceiver. In those cases, the source code is refactored so that changes in the    values retrieved from the intent parameter are checked before processing the information received.<br>;; Implement a simple caching mechanism in onReceive() of BroadcastReceiver to avoid redundant processing.;*.java, *.kt;Warning;CheckMetadata1.txt;CheckMetadata2.txt;If the broadcast intent is guaranteed by its sender to always contain new, unique data, then checking it against a cached version of the previous intent's data would be redundant.;A developer is implementing a BroadcastReceiver that processes system events. In the onReceive() method, the app should process incoming intents and broadcast notifications ;;;;;
CheckNetwork;Energy;RPC/IPC;No;;;;;;✅;;;;;;;;;;  This inspection identifies cases where a network connection exists before processing a request. This is only activated when subclasses of android.app.IntentService are used. <br>;; Ensure network availability before processing requests in IntentService.;*.java, *.kt;Warning;CheckNetwork1.txt;CheckNetwork2.txt;The IntentService could be designed to work with a queueing system. It may intentionally attempt a network request and, upon failure, schedule the work to be retried later (e.g., using WorkManager), making an upfront network check unnecessary.;A developer is creating an IntentService that needs to download data from a server. The service should  make network requests to obtain the data;;;;;
DirtyRendering;Energy;Unnecessary Computation;Yes;;;;;;✅;;;;;;;;;;This inspection switches the rendering mode to <i>GLSurfaceView.RENDERMODE_WHEN_DIRTY;;Switch to lazy rendering using GLSurfaceView.RENDERMODE_WHEN_DIRTY.;*.java, *.kt;Warning;DirtyRendering1.txt;DirtyRendering2.txt;For a GLSurfaceView that is rendering a continuous animation, a video game, or a live camera feed, RENDERMODE_CONTINUOUSLY is the correct and necessary rendering mode. RENDERMODE_WHEN_DIRTY would result in a static image.;A developer is implementing a custom OpenGL ES view for a game that displays relatively static content with occasional updates. ;;;;;
ExcessiveLoopCallsDetector;Runtime;Unnecessary Computation, Suboptimal Algorithm;No;✅;;;;;;;;;;;;;;;Calling methods inside loops, either in the loop condition or in the body, is  usually a good optimization target;;Avoid method calls inside loops when possible by precomputing values outside the loop.;*.java, *.kt;Warning;ExcessiveLoopCallsDetector1.txt;ExcessiveLoopCallsDetector2.txt;he method call inside the loop is necessary when its return value is expected to change with each iteration. Hoisting the call outside the loop would be functionally incorrect.;A developer is implementing a task scheduler that needs to repeatedly execute a method at fixed intervals. They create a Handler and post a Runnable that calls updateStatus() inside a loop,;;;;;
NestedWeight;Runtime;Resource Management, Suboptimal Algorithm;Yes;;;✅;✅;;;;;;;;;;;✅;Layout weights require a widget to be measured twice. When a LinearLayout with non-zero weights is nested inside another LinearLayout with non-zero weights, then the number of measurements increase exponentially.;https://googlesamples.github.io/android-custom-lint-rules/checks/NestedWeights.md.html;Avoid nested LinearLayouts with weights by using ConstraintLayout or RelativeLayout instead.;*.xml;Warning;NestedWeight1.txt;NestedWeight2.txt;In a simple, non-scrolling UI, the performance impact of a nested weight is often negligible. A developer might choose this approach for its simplicity and speed of development compared to configuring a more complex ConstraintLayout.;"A developer is creating a complex layout for a messaging app interface. They use a LinearLayout with layout_weight to divide the screen between a ListView for messages (weight=""1"") and a bottom section for input. Within that bottom section, they create another LinearLayout with some more buttons.";;;;;
ConfigChanges;Energy;Resource Management;Yes;;✅;✅;;;;;;;;;;;;;In Android applications, it is considered a code smell if attribute android:configChanges is defined in Manifest file. This phenomenon leads to memory leaks;;Avoid handling android:configChanges in the AndroidManifest.xml and instead handle config changes properly in onSaveInstanceState().;*.xml;Warning;ConfigChanges1.txt;ConfigChanges2.txt;For an Activity that manages a real-time media stream (like a video player or a live camera feed), destroying and recreating the entire view hierarchy on rotation would cause an unacceptable disruption. In these specific cases, handling the configuration change manually is the recommended approach.;A developer is building an app that needs to maintain its UI state during screen rotations on its Activities.;;;;;
DroppedData;Runtime;Resource Management;No;;;✅;;;;;;;;;;;;;on Android applications, the data filled by user in any Activity or fragment may be lost if the focused screen is interrupted. Data should be saved and restored using overridable methods on SaveInstanceState and on RestoreInstanceState;; Preserve user data using onSaveInstanceState() and onRestoreInstanceState().;*.java, *.kt;Warning;DroppedData1.txt;DroppedData2.txt;A screen may be designed to display transient, real-time data (like a logcat viewer or a network monitor) that does not need to be saved and restored during configuration changes. In this case, implementing onSaveInstanceState is unnecessary.;A developer is creating a form for user registration within an activity. They need to implement input fields for name, email, and other details.;;;;;
CollectionOfBitmaps;Memory;Resource Management;Yes;;;✅;;;;;;;;;;;;;The collection of bitmaps is a resource intensive process and should be avoided;;Avoid loading multiple bitmaps in memory. Use bitmap pooling or LruCache.;*.java, *.kt;Warning;CollectionOfBitmaps1.txt;CollectionOfBitmaps2.txt;The collection might be an LruCache which is specifically designed to manage a memory-limited collection of bitmaps. The tool might not recognize it as a safe implementation.;A developer is implementing an image gallery that displays multiple high-resolution photos. They should store Bitmap objects in memory.;;;;;
CollectionOfViews;Memory;Resource Management;Yes;;;✅;;;;;;;;;;;;;The collection of views is a resource intensive process in Android applications and should be avoided;;Do not store views in collections;*.java, *.kt;Warning;CollectionOfViews1.txt;CollectionOfViews2.txt;A custom ViewGroup implementation often needs to store references to its child views to manage them. As long as these references do not outlive the ViewGroup itself, they do not constitute a memory leak.;A developer is creating a custom ViewGroup that needs to manage multiple child views and to track them across all the application, that has multive activities;;;;;
StaticBitmap;Memory;Code Smell;Yes;;;✅;✅;;;;;;;;;;;✅;Bitmaps are heavy objects and should be dealt with proper case otherwise it can lead to memory leaks.;;Do not store bitmaps in static fields. Use caching mechanisms like LruCache instead.;*.java, *.kt;Warning;StaticBitmap1.txt;StaticBitmap2.txt;While risky, if the bitmap is small, immutable, and loaded once to be used throughout the entire application lifecycle (e.g., a logo), it may not cause a leak if it's managed carefully and tied to the application context.;A developer is implementing an app that displays a company logo throughout different activities, manipulated via a Bitmap object;;;;;
StaticContext;Memory;Code Smell;Yes;;;✅;✅;;;;;;;;;;;✅;In Android applications, declaring field of type Context leads to memory leak as it is never collected by garbage collector of JVM;;In Android applications, declaring field of type Context leads to memory leak as it is never colllected by garbage collector of JVM;*.java, *.kt;Warning;StaticContext1.txt;StaticContext2.txt;Storing the Application Context (Context.getApplicationContext()) in a static field is a safe and common practice because the Application object lives for the entire duration of the app. The tool might incorrectly flag this without distinguishing it from an Activity context.;A developer wants easy access to application resources from any class;;;;;
StaticView;Memory;Code Smell;Yes;;;✅;✅;;;;;;;;;;;✅;Holding static reference of any view type object is a resource (memory) intensive process;;Avoid keeping static references to View objects to prevent memory leaks.;*.java, *.kt;Warning;StaticView1.txt;StaticView2.txt;This is almost always a leak. A highly contrived scenario could be a singleton view used for a system-level overlay window that is intended to persist across activities, but this is a very advanced and rare use case.;A developer is implementing a button that appears in multiple activities and wants to avoid recreating it;;;;;
StaticFieldLeak;Memory;Code Smell;No;;;;✅;;;;;;;;;;;✅;A static field will leak contexts. Non-static inner classes have an implicit reference to their outer class. If that outer class is for example a Fragment or Activity, then this reference means that the long-running handler/loader/task will hold a reference to the activity which prevents it from getting garbage collected. Similarly, direct field references to activities and fragments from these longer running instances can cause leaks. ViewModel classes should never point to Views or non-application Contexts.;https://googlesamples.github.io/android-custom-lint-rules/checks/StaticFieldLeak.md.html;Avoid static references to Activities, Fragments, and Views. If needed, use WeakReference.;*.java, *.kt;Warning;StaticFieldLeak1.txt;StaticFieldLeak2.txt;The static field might hold a reference that is explicitly cleared at the appropriate lifecycle event (e.g., set to null in Activity.onDestroy()). The static analysis tool may not be able to detect this manual cleanup.;A developer is implementing a background task to download and process data in an Android activity ;;;;;
UselessStringValueOf;Runtime;Data Manipulation, Unnecessary Computation;No;;;;;✅;;;;;;;;;;;No need to call String.valueOf to append to a string. Just use the valueOf() argument directly.;https://pmd.github.io/pmd/pmd_rules_java_performance.html#uselessstringvalueof;Just use the valueOf() argument directly to concatenate Strings;*.java, *.kt;Warning;UselessStringValueOf1.txt;UselessStringValueOf2.txt;Modern Java and Kotlin compilers are highly effective at optimizing string concatenations. A call to String.valueOf() before appending to a string is often optimized away, making the manual fix redundant and offering no performance benefit.;A developer is implementing a text formatting utility that builds custom strings by concatening string literals with numbers.;;;;;
AppendCharacterWithChar;Runtime;Data Manipulation, Suboptimal Algorithm;No;;;;;✅;;;;;;;;;;;Avoid concatenating characters as strings in StringBuffer/StringBuilder.append methods.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#appendcharacterwithchar;Avoid concatenating characters using StringBuffer.append() or StringBuilder.append() with characters. use instead: StringBuffer sb = new StringBuffer() followed by sb.append('a');*.java, *.kt;Warning;AppendCharacterWithChar1.txt;AppendCharacterWithChar2.txt;This is a micro-optimization that modern compilers can often handle automatically. A developer might prefer using a string literal for consistency or readability, with a negligible impact on performance.;A developer is implementing a text formatting utility that builds custom strings character by character. They create a StringBuilder to construct the output and to append individual characters.;;;;;
AvoidArrayLoops;Runtime;Data Manipulation, Obsolete Solution;No;;;;;✅;;;;;;;✅;;;;Instead of manually copying data between two arrays, use the more efficient Arrays.copyOf or System.arraycopy method instead.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#avoidarrayloops;Use System.arraycopy() or Arrays.copyOf() instead of looping through arrays.;*.java, *.kt;Warning;AvoidArrayLoops1.txt;AvoidArrayLoops2.txt;The loop in question may be doing more than just copying elements - it might be performing a transformation, filtering, or some other logic on each element as it is copied, which System.arraycopy() cannot do.;A developer is creating an image processing feature that needs to make a copy of pixel data from one array to another. ;;;;;
AvoidCalendarDateCreation;Runtime;Obsolete Solution, Unnecessary Computation;No;;;;;✅;;;;;;;;;;;java.util.Calendar is a heavyweight object and expensive to create. It should only be used, if calendar calculations are needed.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#avoidcalendardatecreation;Use new Date(), Java 8+ java.time.LocalDateTime.now() or ZonedDateTime.now().;*.java, *.kt;Warning;AvoidCalendarDateCreation1.txt;AvoidCalendarDateCreation2.txt;The code may require calendar-specific calculations (e.g., adding days, getting the day of the week, handling time zones) for which java.util.Calendar was the standard API;A developer is building a scheduling app that frequently needs to check if events fall on specific days. ;;;;;
AvoidFileStream;Memory;Data Access, Obsolete Solution;No;;;;;✅;;;;;;;✅;;;;The FileInputStream and FileOutputStream classes contains a finalizer method which will cause garbage collection pauses. See JDK-8080225 for details. The FileReader and FileWriter constructors instantiate FileInputStream and FileOutputStream, again causing garbage collection issues while finalizer methods are called. Use Files.newInputStream(Paths.get(fileName)) instead of new FileInputStream(fileName). Use Files.newOutputStream(Paths.get(fileName)) instead of new FileOutputStream(fileName). Use Files.newBufferedReader(Paths.get(fileName)) instead of new FileReader(fileName). Use Files.newBufferedWriter(Paths.get(fileName)) instead of new FileWriter(fileName). Please note, that the java.nio API does not throw a FileNotFoundException anymore, instead it throws a NoSuchFileException. If your code dealt explicitly with a FileNotFoundException, then this needs to be adjusted. Both exceptions are subclasses of IOException, so catching that one covers both.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#avoidfilestream;Use Files.newInputStream(Paths.get(fileName)) instead of new FileInputStream(fileName). Use Files.newOutputStream(Paths.get(fileName)) instead of new FileOutputStream(fileName). Use Files.newBufferedReader(Paths.get(fileName)) instead of new FileReader(fileName). Use Files.newBufferedWriter(Paths.get(fileName)) instead of new FileWriter(fileName). ;*.java, *.kt;Warning;AvoidFileStream1.txt;AvoidFileStream2.txt;The code must interface with an older, third-party library that specifically requires an instance of FileInputStream or FileOutputStream in its API, making the use of java.nio impossible.;A developer needs to implement a log file reader that processes application logs;;;;;
AvoidInstantiatingObjectsInLoops;Runtime;Unnecessary Computation;No;;;;;✅;;;;;;;✅;;;;New objects created within loops should be checked to see if they can created outside them and reused.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#avoidfilestream;Avoid creating new objects inside loops if they can be reused outside the loop.;*.java, *.kt;Warning;AvoidInstantiatingObjectsInLoops1.txt;AvoidInstantiatingObjectsInLoops2.txt;It is impossible to create the object outside the loop if its constructor parameters depend on variables that change with each iteration.;A developer is processing a list of user transactions in a loop. For each transaction, they need to use a DateFormatter object to format the transaction date;;;;;
BigIntegerInstantiation;Memory;Data Manipulation, Unnecessary Computation;No;;;;;✅;;;;;;;;;;;Don’t create instances of already existing BigInteger (BigInteger.ZERO, BigInteger.ONE), for Java 1.5 onwards, BigInteger.TEN and BigDecimal (BigDecimal.ZERO, BigDecimal.ONE, BigDecimal.TEN) and for Java 9 onwards BigInteger.TWO.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html#avoidfilestream;Use existing BigInteger constants (BigInteger.ZERO, BigInteger.ONE, etc.) instead of instantiating new BigInteger objects.;*.java, *.kt;Warning;BigIntegerInstantiation1.txt;BigIntegerInstantiation2.txt;The code might be part of a library that needs to maintain compatibility with very old Java versions where constants like BigInteger.ZERO or BigInteger.ONE did not exist.;A developer is implementing a calculator feature that works with precise decimal values. They need to use BigInteger values;;;;;
ConsecutiveAppendsShouldReuse;Runtime;Data Manipulation, Code Smell;No;;;;;✅;;;;;;;;;;;Consecutive calls to StringBuffer/StringBuilder .append should be chained, reusing the target object. This can improve the performance by producing a smaller bytecode, reducing overhead and improving inlining.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Chain consecutive StringBuilder.append() or StringBuffer.append() calls to reduce bytecode size and improve performance.;*.java, *.kt;Warning;ConsecutiveAppendsShouldReuse1.txt;ConsecutiveAppendsShouldReuse2.txt;A developer may choose to write separate, unchained append calls for readability, especially if the calls are interspersed with comments or conditional logic. The performance gain from chaining is typically minimal.;A developer is building a string construction utility that generates complex formatted text from several class fields.;;;;;
ConsecutiveLiteralAppends;Runtime;Data Manipulation, Code Smell;No;;;;;✅;;;;;;;;;;;Consecutively calling StringBuffer/StringBuilder.append(…) with literals should be avoided.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Avoid appending literals consecutively in StringBuilder. Instead, append once or use string concatenation if necessary.;*.java, *.kt;Warning;ConsecutiveLiteralAppends1.txt;ConsecutiveLiteralAppends2.txt;"Compilers almost always optimize consecutive literal appends (e.g., builder.append(""a"").append(""b"")) into a single operation (builder.append(""ab"")), making this warning moot.";A developer is creating an email template generator and needs to build a string using string literals.;;;;;
InefficientEmptyStringCheck;Runtime;Data Manipulation, Suboptimal Algorithm;No;;;;;✅;;;;;;;;;;;String.trim().length() == 0 (or String.trim().isEmpty() for the same reason) is an inefficient way to check if a String is really blank;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html; Consider creating a static function that loops through a string, checking Character.isWhitespace() on each character and returning false if a non-whitespace character is found. Or using Apache’s StringUtils#isBlank (in commons-lang), Spring’s StringUtils#hasText (in the Spring framework) or Google’s CharMatcher#whitespace (in Guava) ;*.java, *.kt;Warning;InefficientEmptyStringCheck1.txt;InefficientEmptyStringCheck2.txt;The code's intent might be to specifically check if a string is empty after trimming whitespace, not just if it's blank. In that case, trim().isEmpty() is the correct logic, not an inefficient check for blankness.;A developer is validating user input in a form. They check if a text field is empty after trimming by using inputText.trim().length() == 0, which creates an unnecessary intermediate String object, instead of using the more efficient inputText.isEmpty() or checking the length before trimming.;;;;;
InefficientStringBuffering;Runtime;Data Manipulation;No;;;;;✅;;;;;;;✅;;;;Avoid concatenating non-literals in a StringBuffer constructor or append() since intermediate buffers will need to be be created and destroyed by the JVM.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Avoid concatenating non-literals in a StringBuffer constructor or append() since intermediate buffers will need to be be created and destroyed by the JVM.;*.java, *.kt;Warning;InefficientStringBuffering1.txt;InefficientStringBuffering2.txt;"The compiler often optimizes simple string concatenations within a StringBuilder constructor or append call, making the flagged ""inefficiency"" a non-issue in the generated bytecode.";A developer is building a dynamic query generator for a database. They need to create a StringBuilder that contains a select statement to be performed over a table whose name is contained on a class field;;;;;
InsufficientStringBufferDeclaration;Runtime;Data Manipulation;No;;;;;✅;;;;;;;;;;;Failing to pre-size a StringBuffer or StringBuilder properly could cause it to re-size many times during runtime.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Pre-size the StringBuffer or StringBuilder when the expected size is known.;*.java, *.kt;Warning;InsufficientStringBufferDeclaration1.txt;InsufficientStringBufferDeclaration2.txt;If the final size of the string is unknown or highly variable, making a pre-sizing guess is impractical. A wrong guess could either lead to more reallocations (if too small) or wasted memory (if too large).;A developer is implementing a log formatting utility that concatenates various pieces of information. They need to create a StringBuffer and then append multiple string elements including timestamps, log levels, class names, and lengthy message content.;;;;;
OptimizableToArrayCall;Runtime;Data Manipulation, Suboptimal Algorithm;No;;;;;✅;;;;;;;;;;;Calls to a collection’s toArray(E[]) method should specify a target array of zero size. This allows the JVM to optimize the memory allocation and copying as much as possible.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;When using toArray(), specify a zero-length array as an argument to allow for optimized memory allocation.;*.java, *.kt;Warning;OptimizableToArrayCall1.txt;OptimizableToArrayCall2.txt;"On modern JVMs (Java 8 and newer), providing a pre-sized array (list.toArray(new String[list.size()])) can be faster than passing an empty one (list.toArray(new String[0])). The ""optimized"" version could be a de-optimization on modern platforms.";A developer is implementing a feature to convert a collection of user preferences to an array for processing. It is required to use the toArray() method on an ArrayList;;;;;
RedundantFieldInitializer;Runtime;Code Smell;No;;;;;✅;;;;;;;;;;;Java will initialize fields with known default values so any explicit initialization of those same defaults is redundant and results in a larger class file (approximately three additional bytecode instructions per field).;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Remove redundant field initializations where default values are already provided by Java.;*.java, *.kt;Warning;RedundantFieldInitializer1.txt;RedundantFieldInitializer2.txt;Some coding standards require explicit initialization for all fields for the sake of clarity and consistency, even if the value is the type's default. This is a style choice, not a performance issue.;A developer is creating a data model class with dozens of fields of primitive  types to store user profile information;;;;;
StringInstantiation;Runtime;Data Manipulation, Unnecessary Computation;No;;;;;✅;;;;;;✅;;;;;Avoid instantiating String objects. Yhis is usually unnecessary since they are immutable and can be safely shared.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Avoid instantiating String objects. This is usually unnecessary since they are immutable and canbe safely shared.;*.java, *.kt;Warning;StringInstantiation1.txt;StringInstantiation2.txt;A highly contrived scenario might be to intentionally force two string objects to have different identities in memory (== returns false) for a specific testing purpose.;A developer is implementing a text processing utility that needs to work with string constants.;;;;;
StringToString;Runtime;Data Manipulation, Unnecessary Computation;No;;;;;✅;;;;;;✅;;;;;Avoid calling toString() on objects already known to be string instances since this is unnecessary.;https://docs.pmd-code.org/latest/pmd_rules_java_performance.html;Avoid instantiating new String objects when not necessary. Use string literals directly.;*.java, *.kt;Warning;StringToString1.txt;StringToString2.txt;In generic code (e.g., a method void process(T item)), a call to item.toString() is necessary for compilation. If the method is later called with a String, the toString() call is redundant at runtime but was required by the compiler.;A developer is building a string concatenation utility that combines various data types received as input. Namely, some of the inputs are Strings;;;;;
